ID	position	person	department	year	team
1	Chairman/CEO	Robert Kraft	front office	2019	New_England_Patriots
2	President	Jonathan Kraft	front office	2019	New_England_Patriots
3	General Manager	Bill Belichick	front office	2019	New_England_Patriots
4	Director of Player Personnel	Nick Caserio	front office	2019	New_England_Patriots
5	Director of College Scouting	Monti Ossenfort	front office	2019	New_England_Patriots
6	Assistant Director of College Scouting	Brian Smith	front office	2019	New_England_Patriots
7	Director of Pro Personnel	Dave Ziegler	front office	2019	New_England_Patriots
8	Director of Scouting Administration	Nancy Meier	front office	2019	New_England_Patriots
9	Football Research Director	Ernie Adams	front office	2019	New_England_Patriots
10	Director of Football/Head Coach Administration	Berj Najarian	front office	2019	New_England_Patriots
11	director of skill development	joe kim	front office	2019	New_England_Patriots
12	head coach	bill belichick	head coaches	2019	New_England_Patriots
13	Offensive Coordinator/Quarterbacks	Josh McDaniels	offensive coaches	2019	New_England_Patriots
14	Assistant Quarterbacks	Mick Lombardi	offensive coaches	2019	New_England_Patriots
15	Running Backs	Ivan Fears	offensive coaches	2019	New_England_Patriots
16	Assistant Running Backs	Cole Popovich	offensive coaches	2019	New_England_Patriots
17	Tight Ends	Nick Caley	offensive coaches	2019	New_England_Patriots
18	Offensive Line	Dante Scarnecchia	offensive coaches	2019	New_England_Patriots
19	Coaching Assistant	Carmen Bricillo	offensive coaches	2019	New_England_Patriots
20	Defensive Line	Bret Bielema	defensive coaches	2019	New_England_Patriots
21	Outside Linebackers	DeMarcus Covington	defensive coaches	2019	New_England_Patriots
22	Inside Linebackers	Jerod Mayo	defensive coaches	2019	New_England_Patriots
23	Cornerbacks	Mike Pellegrino	defensive coaches	2019	New_England_Patriots
24	Secondary/Safeties	Steve Belichick	defensive coaches	2019	New_England_Patriots
25	Coaching Assistant	Brian Belichick	defensive coaches	2019	New_England_Patriots
26	coaching assistant	bob fraser	defensive coaches	2019	New_England_Patriots
27	Special Teams Coordinator/Wide Receivers	Joe Judge	special teams coaches	2019	New_England_Patriots
28	assistant special teams	cameron achord	special teams coaches	2019	New_England_Patriots
29	Head Strength and Conditioning	Moses Cabrera	strength and conditioning	2019	New_England_Patriots
30	Assistant Strength and Conditioning	Deron Mayo	strength and conditioning	2019	New_England_Patriots
31	Owner/CEO	Terry Pegula	front office	2019	Buffalo_Bills
32	Owner/President	Kim Pegula	front office	2019	Buffalo_Bills
33	General Manager	Brandon Beane	front office	2019	Buffalo_Bills
34	Assistant General Manager	Joe Schoen	front office	2019	Buffalo_Bills
35	Director of Player Personnel	Dan Morgan	front office	2019	Buffalo_Bills
36	Director of College Scouting	Terrance Gray	front office	2019	Buffalo_Bills
37	Senior VP of Football Administration	Jim Overdorf	front office	2019	Buffalo_Bills
38	Assistant Director of College Scouting	Lake Dawson	front office	2019	Buffalo_Bills
39	Director of Pro Personnel	Malik Boyd	front office	2019	Buffalo_Bills
40	Director of Football Administration	Kevin Meganck	front office	2019	Buffalo_Bills
41	director of football operations	brendan rowe	front office	2019	Buffalo_Bills
42	Head Coach	Sean McDermott	head coaches	2019	Buffalo_Bills
43	assistant to the head coach	matt worswick	head coaches	2019	Buffalo_Bills
44	Offensive Coordinator	Brian Daboll	offensive coaches	2019	Buffalo_Bills
45	Quarterbacks	Ken Dorsey	offensive coaches	2019	Buffalo_Bills
46	Running Backs	Kelly Skipper	offensive coaches	2019	Buffalo_Bills
47	Wide Receivers	Chad Hall	offensive coaches	2019	Buffalo_Bills
48	Tight Ends	Rob Boras	offensive coaches	2019	Buffalo_Bills
49	Offensive Line	Bobby Johnson	offensive coaches	2019	Buffalo_Bills
50	Assistant Offensive Line	Terry Heffernan	offensive coaches	2019	Buffalo_Bills
51	Offensive Assistant	Shea Tierney	offensive coaches	2019	Buffalo_Bills
52	Offensive Assistant	Ryan Wendell	offensive coaches	2019	Buffalo_Bills
53	Offensive Quality Control/Defense Special Projects	Marc Lubick	offensive coaches	2019	Buffalo_Bills
54	Defensive Coordinator	Leslie Frazier	defensive coaches	2019	Buffalo_Bills
55	Defensive Line	Bill Teerlinck	defensive coaches	2019	Buffalo_Bills
56	Assistant Defensive Line	Aaron Whitecotton	defensive coaches	2019	Buffalo_Bills
57	Linebackers	Bob Babich	defensive coaches	2019	Buffalo_Bills
58	Defensive Backs	John Butler	defensive coaches	2019	Buffalo_Bills
59	Safeties	Bobby Babich	defensive coaches	2019	Buffalo_Bills
60	Defensive Assistant	Jim Salgado	defensive coaches	2019	Buffalo_Bills
61	defensive quality control/assistant linebackers	john egorugwu	defensive coaches	2019	Buffalo_Bills
62	Special Teams Coordinator	Heath Farwell	special teams coaches	2019	Buffalo_Bills
63	assistant special teams	matt smiley	special teams coaches	2019	Buffalo_Bills
64	Head Strength and Conditioning	Eric Ciano	strength and conditioning	2019	Buffalo_Bills
65	Assistant Strength and Conditioning	Hal Luther	strength and conditioning	2019	Buffalo_Bills
66	Assistant Strength and Conditioning	Will Greenberg	strength and conditioning	2019	Buffalo_Bills
67	Strength and Conditioning Assistant	Jason Oszvart	strength and conditioning	2019	Buffalo_Bills
68	Strength and Conditioning Assistant	Mark Loecher	strength and conditioning	2019	Buffalo_Bills
69	Chairman/Managing General Partner	Stephen Ross	front office	2019	Miami_Dolphins
70	Vice Chairman/Partner	Bruce Beal	front office	2019	Miami_Dolphins
71	Vice Chairman	Jorge Perez	front office	2019	Miami_Dolphins
72	Vice Chairman	Don Shula	front office	2019	Miami_Dolphins
73	Vice Chairman	Matt Higgins	front office	2019	Miami_Dolphins
74	Vice Chairman, President, and CEO	Tom Garfinkel	front office	2019	Miami_Dolphins
75	General Manager	Chris Grier	front office	2019	Miami_Dolphins
76	Assistant General Manager	Marvin Allen	front office	2019	Miami_Dolphins
77	Vice President, Football Administration	Brandon Shore	front office	2019	Miami_Dolphins
78	Senior Personnel Executive	Reggie McKenzie	front office	2019	Miami_Dolphins
79	Co-Director, Player Personnel	Adam Engroff	front office	2019	Miami_Dolphins
80	co-director, player personnel	anthony hunt	front office	2019	Miami_Dolphins
81	Head Coach	Brian Flores	head coaches	2019	Miami_Dolphins
82	assistant head coach/quarterbacks	jim caldwell	head coaches	2019	Miami_Dolphins
83	Offensive Coordinator	Chad O'Shea	offensive coaches	2019	Miami_Dolphins
84	Assistant Quarterbacks	Jerry Schuplinski	offensive coaches	2019	Miami_Dolphins
85	Running Backs	Eric Studesville	offensive coaches	2019	Miami_Dolphins
86	Wide Receivers	Karl Dorrell	offensive coaches	2019	Miami_Dolphins
87	Tight Ends	George Godsey	offensive coaches	2019	Miami_Dolphins
88	Offensive Line	Dave DeGuglielmo	offensive coaches	2019	Miami_Dolphins
89	Offensive Quality Control	Josh Grizzard	offensive coaches	2019	Miami_Dolphins
90	Offensive Quality Control	Matt Lombardi	offensive coaches	2019	Miami_Dolphins
91	Offensive Quality Control	Tiquan Underwood	offensive coaches	2019	Miami_Dolphins
92	Defensive Coordinator	Patrick Graham	defensive coaches	2019	Miami_Dolphins
93	Defensive Line	Marion Hobby	defensive coaches	2019	Miami_Dolphins
94	Linebackers	Rob Leonard	defensive coaches	2019	Miami_Dolphins
95	Defensive Pass Game Coordinator/Cornerbacks	Josh Boyer	defensive coaches	2019	Miami_Dolphins
96	Safeties	Tony Oden	defensive coaches	2019	Miami_Dolphins
97	defensive quality control	mike judge	defensive coaches	2019	Miami_Dolphins
98	Special Teams Coordinator	Danny Crossman	special teams coaches	2019	Miami_Dolphins
99	assistant special teams	brendan farrell	special teams coaches	2019	Miami_Dolphins
100	Head Strength and Conditioning	Dave Puloka	strength and conditioning	2019	Miami_Dolphins
101	Assistant Strength and Conditioning	Jim Arthur	strength and conditioning	2019	Miami_Dolphins
102	Owner	Woody Johnson	front office	2019	New_York_Jets
103	Chairman/CEO	Christopher Johnson	front office	2019	New_York_Jets
104	President	Hymie Elhai	front office	2019	New_York_Jets
105	General Manager	Joe Douglas	front office	2019	New_York_Jets
106	Assistant General Manager	Rex Hogan	front office	2019	New_York_Jets
